 INFO 2020-07-28 22:17:11.117 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:17:11.131 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:17:11.132 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:17:12.698 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 1.874 seconds (JVM running for 3.05)
DEBUG 2020-07-28 22:17:59.313 --- [0.1-8081-exec-2] c.a.x.d.UserDAO                          : Admin2 uFErWAnGrvRK4tNOF7tCWw==
DEBUG 2020-07-28 22:17:59.325 --- [0.1-8081-exec-2] c.a.x.c.UserController                   : User Admin2 attempted to login: Successful!
DEBUG 2020-07-28 22:17:59.410 --- [0.1-8081-exec-4] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:17:59.411 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:17:59.411 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:17:59.420 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:17:59.425 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:17:59.428 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:17:59.432 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:17:59.435 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:17:59.440 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:23:07.129 --- [0.1-8081-exec-7] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:23:07.129 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:23:07.129 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:23:07.136 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:07.142 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:07.148 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:07.154 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:07.160 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:23:07.166 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:23:11.751 --- [0.1-8081-exec-8] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:23:11.751 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:23:11.751 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:23:11.755 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:11.759 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:11.764 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:23:11.767 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:23:11.770 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:23:11.774 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:23:25.499 --- [0.1-8081-exec-9] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:23:25.499 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:23:25.499 --- [0.1-8081-exec-9] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
